provider,provider_name,continuation_rate,completion_rate,attainment_rate,progression_rate,continuation_rate_below_median,continuation_rate_bottom_quartile,completion_rate_below_median,completion_rate_bottom_quartile,attainment_rate_below_median,attainment_rate_bottom_quartile,progression_rate_below_median,progression_rate_bottom_quartile,pct_mature,pct_disabled,pct_female,pct_eth_asian,pct_eth_black,pct_eth_mixed,pct_eth_other,pct_imd_q1,pct_imd_q2,pct_imd_q3,pct_imd_q4,pct_polar_q1,pct_polar_q2,pct_polar_q3,pct_polar_q4,pct_tundra_q1,pct_tundra_q2,pct_tundra_q3,pct_tundra_q4
10042570,AAP Education Limited,91.1,83.1,79.4,76.7,False,False,False,False,False,False,False,False,11.5,21.8,42.1,18.4,12.1,10.9,5.9,14.7,26.2,21.9,17.1,7.3,8.7,17.2,28.5,6.6,10.7,13.3,23.9
10067853,ACM Guildford Limited,82.2,77.1,73.5,69.9,True,False,True,False,True,False,False,False,30.4,31.8,30.5,4.7,14.9,9.9,3.4,17.6,18.3,20.3,21.0,11.3,14.1,19.6,23.9,12.0,15.7,19.6,23.6
10000055,Abingdon and Witney College,68.2,72.2,,,True,True,True,True,,,,,83.5,13.1,69.9,5.8,,2.3,,2.8,8.5,11.9,32.4,13.8,13.8,13.8,17.2,,27.6,27.6,24.1
10036456,Academy of Live Technology Ltd,94.2,,56.0,66.1,False,False,,,True,True,True,False,18.5,36.5,34.5,,,4.5,,20.8,20.8,14.9,20.2,23.4,22.1,15.9,18.6,22.5,18.8,25.4,18.8
10004927,Activate Learning,74.1,73.6,65.5,61.1,True,True,True,True,True,True,True,False,65.8,19.5,48.4,4.0,7.4,3.1,0.8,10.2,13.9,21.0,18.7,14.8,18.4,17.8,17.2,14.7,23.9,24.5,14.4
10000291,Anglia Ruskin University,81.4,83.7,68.3,67.4,True,False,False,False,True,False,False,False,58.3,14.8,65.4,10.9,22.2,4.9,3.7,19.4,29.6,21.7,15.9,17.4,19.2,21.1,22.9,20.5,19.7,19.7,21.2
10005451,Arden University Limited,76.6,56.4,56.8,54.2,True,True,True,True,True,True,True,True,84.4,10.2,54.7,20.8,22.3,5.4,5.0,44.1,30.6,15.1,7.1,15.4,18.1,22.9,26.6,12.2,12.9,15.7,26.9
10000381,Arts Educational Schools (The),95.3,95.0,95.8,78.5,False,False,False,False,False,False,False,False,6.0,20.6,59.2,3.5,11.5,12.0,,7.6,14.3,17.8,24.7,6.6,12.1,18.6,25.9,8.6,12.4,20.0,26.5
10000385,Arts University Bournemouth,93.7,94.6,75.5,62.8,False,False,False,False,False,False,True,False,9.5,30.3,72.4,3.5,2.1,6.8,1.1,7.0,14.5,19.8,25.5,10.5,14.6,18.6,22.7,12.5,18.0,22.7,22.7
10005127,Arts University Plymouth,87.9,82.4,67.5,60.2,False,False,True,False,True,True,True,False,26.8,45.1,73.7,1.6,1.0,4.5,0.5,15.7,27.4,23.6,18.4,19.2,26.1,21.3,19.4,23.4,27.2,23.1,18.0
10000415,Askham Bryan College,81.8,72.4,70.5,46.1,True,False,True,True,True,False,True,True,27.0,40.5,80.5,1.2,,1.6,,23.2,18.1,18.3,21.9,22.4,23.7,18.2,19.2,22.3,16.8,24.2,21.3
